transaction_id,montant,probabilite_fraude,decision,features_cles,niveau_risque
14990,436.31,0.665,FRAUDE,"V1, V6, V4, V5, V3",MODÉRÉ
39587,181.67,0.96,FRAUDE,"V1, V6, V4, V5, V3",CRITIQUE
36142,107.89,0.585,FRAUDE,"V1, V6, V4, V5, V3",MODÉRÉ
73968,11.1,0.875,FRAUDE,"V1, V6, V4, V5, V3",ÉLEVÉ
98489,82.27,0.625,FRAUDE,"V1, V6, V4, V5, V3",MODÉRÉ
32090,24.93,0.375,FRAUDE,"V1, V6, V4, V5, V3",MODÉRÉ
84253,235.19,0.675,FRAUDE,"V1, V6, V4, V5, V3",MODÉRÉ
42862,151.94,0.3,FRAUDE,"V1, V6, V4, V5, V3",MODÉRÉ
88872,142.28,0.395,FRAUDE,"V1, V6, V4, V5, V3",MODÉRÉ
25057,191.93,0.83,FRAUDE,"V1, V6, V4, V5, V3",ÉLEVÉ
